bus;carrier;available_area_km2;availability_share;region_name
1;pv;11.06;0.47591022727572924;Albertslund
1;wind_onshore;0.29;0.012478658762202664;Albertslund
2;pv;39.07;0.5742076114085325;Allerød
2;wind_onshore;0.62;0.009112073690127724;Allerød
3;pv;23.76;0.6975594488656758;Ballerup
3;wind_onshore;0.04;0.0011743425065078718;Ballerup
4;wind_offshore;4904.72;0.8069057305916166;Bornholm
4;wind_onshore;42.02;0.07136921190760882;Bornholm
4;pv;379.11;0.6439024732578197;Bornholm
5;wind_onshore;0.0;0.0;Brøndby
5;pv;14.57;0.681201890474246;Brøndby
6;wind_onshore;0.0;0.0;Christiansø
6;pv;0.0;0.0;Christiansø
6;wind_offshore;4881.8;0.898235103626943;Christiansø
7;wind_offshore;50.6;0.17408656161838573;Dragør
7;wind_onshore;0.0;0.0;Dragør
7;pv;8.8;0.4623296780646285;Dragør
8;wind_onshore;3.5100000000000002;0.02786577203981506;Egedal
8;pv;83.25;0.6609189522263829;Egedal
9;wind_onshore;3.27;0.029284676782078255;Fredensborg
9;pv;57.54;0.5153028446607899;Fredensborg
10;wind_onshore;0.0;0.0;Frederiksberg
10;pv;7.61;0.8846070067844432;Frederiksberg
11;wind_onshore;13.22;0.05240803844043186;Frederikssund
11;pv;165.29;0.655259052482525;Frederikssund
12;wind_onshore;0.09;0.0015896698911526633;Furesø
12;pv;25.6;0.45217276903897985;Furesø
13;wind_onshore;0.0;0.0;Gentofte
13;pv;20.12;0.776018587180493;Gentofte
13;wind_offshore;17.400000000000002;0.13039568345323743;Gentofte
14;pv;18.63;0.7425966957330942;Gladsaxe
14;wind_onshore;0.0;0.0;Gladsaxe
15;wind_onshore;0.0;0.0;Glostrup
15;pv;8.790000000000001;0.6586041754096738;Glostrup
16;wind_onshore;6.61;0.023557197165765886;Gribskov
16;pv;147.74;0.5265265218260593;Gribskov
16;wind_offshore;118.46000000000001;0.06944094354332878;Gribskov
17;wind_onshore;1.8900000000000001;0.015346728479912301;Halsnæs
17;pv;49.13;0.398933740856133;Halsnæs
18;wind_onshore;0.99;0.008091187771761179;Helsingør
18;pv;54.93;0.4489383275786279;Helsingør
19;wind_onshore;0.0;0.0;Herlev
19;pv;8.86;0.7404986423808811;Herlev
20;wind_onshore;6.0200000000000005;0.02823535949882837;Hillerød
20;pv;114.52;0.5371284667451536;Hillerød
21;wind_onshore;0.86;0.011081643860075015;HøjeTaastrup
21;pv;61.690000000000005;0.7949146624744509;HøjeTaastrup
22;wind_onshore;2.2;0.06992513515476165;Hørsholm
22;pv;15.55;0.49424356893479254;Hørsholm
23;wind_onshore;0.0;0.0;Hvidovre
23;pv;16.77;0.7257400045500572;Hvidovre
24;wind_offshore;8.83;0.11594012605042017;Ishøj
24;pv;20.07;0.7653489153501187;Ishøj
24;wind_onshore;0.1;0.003813397684853606;Ishøj
25;pv;56.64;0.6333654383365239;København
25;wind_onshore;0.0;0.0;København
26;pv;15.98;0.4122089071596403;Lyngby-Taarbæk
26;wind_onshore;0.0;0.0;Lyngby-Taarbæk
27;pv;10.31;0.8451800897255812;Rødovre
27;wind_onshore;0.0;0.0;Rødovre
28;pv;27.44;0.3751471596482574;Rudersdal
28;wind_onshore;0.03;0.0004101463115687945;Rudersdal
29;wind_offshore;1.24;0.03052683407188577;Tårnby
29;wind_onshore;0.0;0.0;Tårnby
29;pv;22.990000000000002;0.3424656184338367;Tårnby
30;wind_onshore;0.0;0.0;Vallensbæk
30;pv;5.95;0.6738968942002996;Vallensbæk
31;wind_onshore;5.3100000000000005;0.011232615784218757;Århus
31;pv;377.95;0.7995041686714649;Århus
32;wind_onshore;55.2;0.1018669205603837;Favrskov
32;pv;412.74;0.7616766810161733;Favrskov
33;wind_onshore;35.11;0.06352937440942118;Hedensted
33;pv;419.53000000000003;0.7591135985754619;Hedensted
34;wind_onshore;212.08;0.16017022426365063;Herning
34;pv;839.39;0.633936649116681;Herning
35;wind_onshore;75.69;0.09443255915754126;Holstebro
35;pv;513.4;0.6405294737941826;Holstebro
36;wind_onshore;35.85;0.06815332529014913;Horsens
36;pv;352.34000000000003;0.6698226675796694;Horsens
37;wind_onshore;108.15;0.14697491936874824;Ikast-Brande
37;pv;426.92;0.5801806063514193;Ikast-Brande
38;wind_offshore;9294.99;0.37655702140847463;Lemvig
38;wind_onshore;55.52;0.10808987850796327;Lemvig
38;pv;329.5;0.6414916240701349;Lemvig
39;wind_onshore;88.12;0.12141026669242201;Norddjurs
39;pv;479.03000000000003;0.6599995466826023;Norddjurs
39;wind_offshore;89.89;0.03065825375170532;Norddjurs
40;wind_onshore;12.9;0.057061350733043685;Odder
40;pv;164.9;0.7294121500681321;Odder
41;wind_onshore;92.42;0.12285756959581087;Randers
41;pv;577.71;0.7679728038432796;Randers
42;wind_onshore;215.0;0.14581752073772714;Ringkøbing-Skjern
42;pv;912.73;0.6190326776881195;Ringkøbing-Skjern
43;wind_onshore;4.28;0.037551724513437086;Samsø
43;pv;64.01;0.5616088518937168;Samsø
44;wind_onshore;67.81;0.07844656663080292;Silkeborg
44;pv;457.17;0.5288809447958144;Silkeborg
45;wind_onshore;23.44;0.05144003804716775;Skanderborg
45;pv;267.53000000000003;0.5871055195716207;Skanderborg
46;wind_onshore;88.39;0.12804738715022512;Skive
46;pv;497.66;0.7209419921844217;Skive
47;wind_onshore;26.37;0.10704611642219666;Struer
47;pv;188.89000000000001;0.7667781923014307;Struer
48;wind_offshore;1.83;0.0011806680129292826;Syddjurs
48;wind_onshore;49.67;0.07120323524454132;Syddjurs
48;pv;398.02;0.5705720091007114;Syddjurs
49;wind_onshore;184.94;0.13007595704029867;Viborg
49;pv;863.52;0.60734935883767;Viborg
50;wind_onshore;119.31;0.10457123260989655;Aalborg
50;pv;779.0600000000001;0.6828200861375074;Aalborg
51;wind_offshore;24.48;0.055944055944055944;Brønderslev
51;wind_onshore;99.98;0.1580106013210136;Brønderslev
51;pv;495.40000000000003;0.7829411071657346;Brønderslev
52;wind_onshore;48.52;0.07478171914778522;Frederikshavn
52;pv;336.48;0.5186016665054982;Frederikshavn
52;wind_offshore;243.23000000000002;0.08229574090866029;Frederikshavn
53;wind_offshore;2718.2200000000003;0.614698193593907;Hjørring
53;wind_onshore;92.18;0.09966515342218966;Hjørring
53;pv;652.24;0.7052028603611302;Hjørring
54;wind_offshore;1795.63;0.7294979402468454;Jammerbugt
54;pv;483.74;0.5571517243458134;Jammerbugt
54;wind_onshore;106.33;0.12246649615431913;Jammerbugt
55;wind_offshore;1890.21;0.3929244047544807;Læsø
55;wind_onshore;6.32;0.052709554279334325;Læsø
55;pv;17.6;0.1467861005247285;Læsø
56;wind_onshore;82.37;0.11369257218124933;Mariagerfjord
56;pv;469.8;0.6484493190573137;Mariagerfjord
57;wind_onshore;20.54;0.05588794047374104;Morsø
57;pv;286.01;0.778213722244142;Morsø
58;wind_offshore;57.71;0.09258189751981262;Rebild
58;wind_onshore;72.01;0.11533227196021777;Rebild
58;pv;437.32;0.700418124894354;Rebild
59;wind_onshore;91.64;0.08359026046179445;Thisted
